"Date","Price","Open","High","Low","Change %"
"Feb 23, 2000","73.375","73.150","73.375","73.150","0.03%"
"Feb 22, 2000","73.350","73.100","73.350","73.100","-0.20%"
"Feb 21, 2000","73.500","73.250","73.500","73.250","0.22%"
"Feb 18, 2000","73.340","73.320","73.340","73.320","-0.01%"
"Feb 17, 2000","73.350","73.100","73.350","73.100","0.07%"
"Feb 16, 2000","73.300","72.950","73.300","72.950","0.00%"
"Feb 15, 2000","73.300","72.950","73.300","72.950","0.00%"
"Feb 14, 2000","73.300","72.950","73.300","72.950","-0.10%"
"Feb 11, 2000","73.375","73.150","73.375","73.150","0.03%"
"Feb 10, 2000","73.350","73.100","73.350","73.100","0.00%"
"Feb 09, 2000","73.350","73.100","73.350","73.100","0.00%"
"Feb 08, 2000","73.350","73.100","73.350","73.100","0.14%"
"Feb 07, 2000","73.250","73.000","73.250","73.000","0.24%"
"Feb 04, 2000","73.075","72.900","73.075","72.900","-0.10%"
"Feb 03, 2000","73.150","73.000","73.150","73.000","0.10%"
"Feb 02, 2000","73.075","72.900","73.075","72.900","-0.17%"
"Feb 01, 2000","73.200","73.050","73.200","73.050","0.07%"
"Jan 31, 2000","73.150","73.100","73.150","73.100","0.34%"
"Jan 28, 2000","72.900","72.750","72.900","72.750","0.00%"
"Jan 27, 2000","72.900","72.750","72.900","72.750","0.03%"
"Jan 26, 2000","72.875","72.700","72.875","72.700","0.00%"
"Jan 25, 2000","72.875","72.700","72.875","72.700","0.10%"
"Jan 24, 2000","72.800","72.700","72.800","72.700","0.00%"
"Jan 21, 2000","72.800","72.650","72.800","72.650","0.03%"
"Jan 20, 2000","72.775","72.600","72.775","72.600","-0.03%"
"Jan 19, 2000","72.800","72.650","72.800","72.650","-0.14%"
"Jan 18, 2000","72.900","72.800","72.900","72.800","-0.07%"
"Jan 17, 2000","72.950","72.750","72.950","72.750","-0.21%"
"Jan 14, 2000","73.100","72.850","73.100","72.850","0.14%"
"Jan 13, 2000","73.000","72.900","73.000","72.900","0.38%"
"Jan 12, 2000","72.725","72.500","72.725","72.500","-0.51%"
"Jan 11, 2000","73.100","72.850","73.100","72.850","0.52%"
