Date,Price,Open,High,Low,Change %
Mar-07,108.65,108.75,109.97,108.25,-0.13%
Apr-07,110.6,108.6,110.75,108,1.79%
May-07,110.87,110.8,111,110.58,0.24%
Jun-07,111.385,110.83,111.535,110.63,0.46%
Jul-07,111.78,111.25,111.81,111.25,0.35%
Aug-07,113.025,111.74,113.175,111.7,1.11%
Sep-07,113.44,112.97,113.7,112.9,0.37%
Oct-07,110.95,113.45,113.56,110.85,-2.19%
Nov-07,110.475,111.05,111.075,109.9,-0.43%
Dec-07,108.65,110.45,110.54,108.1,-1.65%
Jan-08,107.84,108.74,108.79,107.75,-0.75%
Feb-08,107.85,107.7,108.13,107.62,0.01%
Mar-08,107.8,107.8,107.95,107.3,-0.05%
Apr-08,107.875,107.84,107.925,107.52,0.07%
May-08,107.885,107.8,107.945,107.55,0.01%
Jun-08,107.7,107.88,107.95,107.55,-0.17%
Jul-08,107.6,107.67,107.85,107.4,-0.09%
Aug-08,107.87,107.55,107.97,107.52,0.25%
Sep-08,108.15,107.9,108.25,107.65,0.26%
Oct-08,110.25,108.2,110.5,108,1.94%
Nov-08,110.05,110.1,110.8,109.5,-0.18%
Dec-08,113,110.08,113.9,109.97,2.68%
Jan-09,113.92,113,114.13,112.9,0.81%
Feb-09,114.23,114.08,116,113.95,0.27%
Mar-09,115.8,114.35,115.95,113.8,1.37%
Apr-09,120.1,115.9,120.8,115.1,3.71%
May-09,114.9,120.1,120.2,114.8,-4.33%
Jun-09,114.92,114.95,115.05,114.8,0.02%
Jul-09,114.85,115,115.1,114.07,-0.06%
Aug-09,114.7,115,115.05,113.72,-0.13%
Sep-09,114.82,114.84,114.9,114.15,0.10%
Oct-09,114.8,114.85,114.95,114.65,-0.02%
Nov-09,114.41,114.82,114.86,114.14,-0.34%
Dec-09,114.4,114.45,114.53,114.1,-0.01%
Jan-10,114.65,114.35,114.65,114.15,0.22%
Feb-10,114.625,114.625,114.775,114.225,-0.02%
Mar-10,114.05,114.55,114.65,113.93,-0.50%
Apr-10,113.95,113.9,114,113.65,-0.09%
May-10,113.8,113.9,114,113.5,-0.13%
Jun-10,113.55,113.75,113.835,113.36,-0.22%
Jul-10,112.75,113.5,113.605,112.515,-0.70%
Aug-10,112.7,112.7,112.825,112.2,-0.04%
Sep-10,111.7,112.75,112.8,111.67,-0.89%
Oct-10,111.6,111.98,112.03,111.525,-0.09%
Nov-10,111.35,111.64,111.74,111.15,-0.22%
Dec-10,110.92,111.18,111.385,110.825,-0.39%
Jan-11,110.85,110.85,111.215,110.61,-0.06%
Feb-11,110.75,111,111.175,110.66,-0.09%
Mar-11,110.37,110.72,110.795,109.95,-0.34%
Apr-11,109.85,110.35,110.44,109.55,-0.47%
May-11,109.65,109.6,110.015,109.615,-0.18%
Jun-11,109.45,109.65,109.8,109.33,-0.18%
Jul-11,109.4,109.45,109.62,109.42,-0.05%
Aug-11,109.65,109.4,110.04,109.26,0.23%
Sep-11,109.96,109.85,110.34,109.875,0.28%
Oct-11,110.06,110.18,110.25,109.96,0.09%
Nov-11,113.82,110.15,114.22,109.91,3.42%
Dec-11,113.85,113.87,113.95,113.73,0.03%
Jan-12,113.85,113.85,114.005,113.73,0.00%
Feb-12,121.8,113.85,122.85,113.76,6.98%
Mar-12,128.1,121.5,131.1,119.45,5.17%
Apr-12,129.21,129.13,133.3,124.85,0.87%
May-12,131.11,129.61,132.75,125.9,1.47%
Jun-12,132.86,132.05,134.4,129.66,1.33%
Jul-12,131.7,133.26,134.15,130.15,-0.87%
Aug-12,132.3,131.75,132.85,131.635,0.46%
Sep-12,129.35,132.375,133.05,128.125,-2.23%
Oct-12,130.1,129.25,130.3,127.95,0.58%
Nov-12,130.1,130.25,131.36,129.8,0.00%
Dec-12,127.5,129.9,130.075,125.45,-2.00%
Jan-13,126.2,127.9,128.1,125.125,-1.02%
Feb-13,127.45,126.3,127.775,125.9,0.99%
Mar-13,126.7,127.5,128.05,125.9,-0.59%
Apr-13,126.7,126.825,127.825,125.25,0.00%
May-13,126.45,126.7,126.9,125.5,-0.20%
Jun-13,130.4,126.5,130.95,126.35,3.12%
Jul-13,131.65,130.55,131.9,130.05,0.96%
Aug-13,132.8,131.575,134.2,131.35,0.87%
Sep-13,131.9,132.9,133.175,131.85,-0.68%
Oct-13,130.85,132.025,132.075,130.05,-0.80%
Nov-13,131.2,130.9,131.665,130.075,0.27%
Dec-13,130.75,131.225,131.55,130.65,-0.34%
Jan-14,130.7,130.8,130.9,130.6,-0.04%
Feb-14,130.7,130.775,131.49,130.615,0.00%
Mar-14,130.65,130.6,130.785,130.45,-0.04%
Apr-14,130.63,130.75,130.75,130.5,-0.02%
May-14,130.35,130.6,130.655,130.3,-0.21%
Jun-14,130.3,130.35,130.425,130.2,-0.04%
Jul-14,130.2,130.33,130.36,130.14,-0.08%
Aug-14,130.21,130.205,130.275,130.115,0.01%
Sep-14,130.26,130.225,130.75,130.175,0.04%
Oct-14,130.75,130.6,131.1,130.3,0.38%
Nov-14,131,130.9,131.75,130.4,0.19%
Dec-14,131.15,131.6,131.875,130.975,0.11%
Jan-15,132.15,131.25,132.825,130.25,0.76%
Feb-15,133,132.25,133.525,132.1,0.64%
Mar-15,132.95,133.05,133.725,132.475,-0.04%
Apr-15,133.1,133.35,133.5,132.875,0.11%
May-15,133.9,133.3,134.4,133,0.60%
Jun-15,133.8,134.15,134.555,133.6,-0.07%
Jul-15,133.66,133.915,134.005,133.5,-0.10%
Aug-15,134.5,133.65,134.75,133.45,0.63%
Sep-15,140.89,134.55,141.4,134.475,4.75%
Oct-15,140.95,141.3,141.625,140.075,0.04%
Nov-15,142.48,140.85,143.375,140.55,1.09%
Dec-15,144.15,143.3,144.375,142.79,1.17%
Jan-16,143.81,144.25,144.675,143.375,-0.24%
Feb-16,144.17,144.125,145.04,143.5,0.25%
Mar-16,145.35,144.6,149.415,143.85,0.82%
Apr-16,145.85,146,147.65,143.5,0.34%
May-16,147.35,146.18,148.8,145.325,1.03%
Jun-16,145.35,148.05,148.575,144.2,-1.36%
Jul-16,144.76,145.55,147.275,144.815,-0.41%
